epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.555643,0.60669,4.7783,1.00696,0.01965,1,0.995,0.59929,0.28988,2.29188,0.89042,0,0,0
2,1.20302,1.29281,4.6887,1.65892,0.48346,1,0.995,0.995,0.23326,2.28365,0.87016,1.9604e-05,1.9604e-05,1.9604e-05
3,1.75964,0.60999,4.6557,1.12863,0.88988,1,0.995,0.995,0.19954,2.09537,0.7291,3.8416e-05,3.8416e-05,3.8416e-05
4,2.29093,0.49021,2.82027,1.02813,0.95576,1,0.995,0.995,0.24608,1.82441,0.70693,5.6436e-05,5.6436e-05,5.6436e-05
5,2.84334,1.23768,2.07978,1.69544,0.96448,1,0.995,0.995,0.24804,3.00325,0.6959,7.3664e-05,7.3664e-05,7.3664e-05
6,3.39312,0.39146,1.27618,0.87394,0.94411,1,0.995,0.995,0.19725,5.53957,0.67715,9.01e-05,9.01e-05,9.01e-05
7,3.94297,1.14311,2.14537,1.37966,0.89345,1,0.995,0.995,0.13585,8.28566,0.67097,0.000105744,0.000105744,0.000105744
8,4.50615,0.56371,0.7816,0.74656,0.82548,1,0.995,0.995,0.14864,10.1336,0.6727,0.000120596,0.000120596,0.000120596
9,5.03984,0.38088,1.89029,0.9389,0.82548,1,0.995,0.995,0.14864,10.1336,0.6727,0.000134656,0.000134656,0.000134656
10,5.61302,0.26318,4.95687,1.03208,0.89287,1,0.995,0.995,0.24134,9.12078,0.7163,0.000147924,0.000147924,0.000147924
11,6.13544,0.42984,0.69861,0.91602,0.89287,1,0.995,0.995,0.24134,9.12078,0.7163,0.0001604,0.0001604,0.0001604
12,6.70201,0.54423,3.25371,1.30165,0.93216,1,0.995,0.8955,0.36495,8.71913,0.77131,0.000172084,0.000172084,0.000172084
13,7.21678,1.29711,1.77964,1.84234,0.93216,1,0.995,0.8955,0.36495,8.71913,0.77131,0.000182976,0.000182976,0.000182976
14,7.77122,1.1594,1.71924,1.65995,0.9501,1,0.995,0.8955,0.49934,6.6846,0.81946,0.000193076,0.000193076,0.000193076
15,8.3011,0.68982,2.71344,1.27429,0.9501,1,0.995,0.8955,0.49934,6.6846,0.81946,0.000202384,0.000202384,0.000202384
16,8.85518,0.32811,2.81326,0.76026,0.95694,1,0.995,0.8955,0.61374,5.679,0.83512,0.0002109,0.0002109,0.0002109
17,9.36477,0.99877,1.66128,1.40658,0.95694,1,0.995,0.8955,0.61374,5.679,0.83512,0.000218624,0.000218624,0.000218624
18,9.91039,0.60215,1.00618,0.80978,0.95772,1,0.995,0.8955,0.48117,5.7321,0.75748,0.000225556,0.000225556,0.000225556
19,10.4256,0.26007,1.07629,1.00328,0.95772,1,0.995,0.8955,0.48117,5.7321,0.75748,0.000231696,0.000231696,0.000231696
20,10.9672,0.80582,1.12795,1.29603,1,1,0.995,0.8955,0.62144,5.50824,0.79151,0.000237044,0.000237044,0.000237044
21,11.4739,0.46176,0.8475,1.03859,1,1,0.995,0.8955,0.62144,5.50824,0.79151,0.0002416,0.0002416,0.0002416
22,12.0011,1.58271,2.31621,1.92741,1,1,0.995,0.796,0.80129,6.07426,0.8962,0.000245364,0.000245364,0.000245364
23,12.4977,0.69814,1.21309,1.16045,1,1,0.995,0.796,0.80129,6.07426,0.8962,0.000248336,0.000248336,0.000248336
24,13.0032,0.84643,0.92134,1.05679,1,1,0.995,0.796,0.80129,6.07426,0.8962,0.000250516,0.000250516,0.000250516
25,13.532,0.70212,0.82839,1.05627,1,1,0.995,0.796,1.00619,5.57251,1.05432,0.000251904,0.000251904,0.000251904
26,14.0361,0.88924,1.41077,1.82085,1,1,0.995,0.796,1.00619,5.57251,1.05432,0.0002525,0.0002525,0.0002525
27,14.5386,1.92415,3.52016,2.25542,1,1,0.995,0.796,1.00619,5.57251,1.05432,0.000252304,0.000252304,0.000252304
28,15.0629,1.12766,2.17411,1.83149,0.96699,1,0.995,0.796,1.01382,3.63136,1.19601,0.000251316,0.000251316,0.000251316
29,15.5591,0.66412,1.001,1.01584,0.96699,1,0.995,0.796,1.01382,3.63136,1.19601,0.000249536,0.000249536,0.000249536
30,16.0645,1.13112,1.73529,1.53711,0.96699,1,0.995,0.796,1.01382,3.63136,1.19601,0.000246964,0.000246964,0.000246964
31,16.6052,1.03855,1.24965,1.2223,0.96984,1,0.995,0.796,0.93101,2.71278,1.27871,0.0002436,0.0002436,0.0002436
32,17.1251,0.8705,1.26555,1.22645,0.96984,1,0.995,0.796,0.93101,2.71278,1.27871,0.000239444,0.000239444,0.000239444
33,17.6345,0.73019,1.19348,1.06131,0.96984,1,0.995,0.796,0.93101,2.71278,1.27871,0.000234496,0.000234496,0.000234496
34,18.1757,1.03233,1.58547,1.56096,0.96868,1,0.995,0.8955,0.74421,2.04053,1.16275,0.000228756,0.000228756,0.000228756
