epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.76661,0.55358,2.73256,1.02893,0.96681,1,0.995,0.995,0.31588,1.08522,0.71928,0,0,0
2,5.72639,1.04013,3.2288,1.85408,0.97214,1,0.995,0.995,0.15277,0.84961,0.68613,1.9604e-05,1.9604e-05,1.9604e-05
3,8.31794,0.40827,1.76897,0.92273,0.97097,1,0.995,0.995,0.09263,1.03245,0.64905,3.8416e-05,3.8416e-05,3.8416e-05
4,11.0421,0.35131,1.01784,1.06016,0.49538,1,0.995,0.995,0.3212,3.58052,0.72826,5.6436e-05,5.6436e-05,5.6436e-05
5,13.7501,1.15984,2.28318,1.50721,0.30987,1,0.995,0.8955,0.70908,5.88074,1.05828,7.3664e-05,7.3664e-05,7.3664e-05
6,16.3893,1.16668,1.05213,1.45431,0.33123,1,0.995,0.4975,1.89984,7.23251,2.64291,9.01e-05,9.01e-05,9.01e-05
7,18.9309,1.18381,1.79505,1.83218,0.45707,1,0.4975,0.24875,2.14373,4.9105,3.79584,0.000105744,0.000105744,0.000105744
8,21.4769,1.10201,1.87648,1.27829,0.31323,1,0.33167,0.16583,1.92582,7.21716,3.1613,0.000120596,0.000120596,0.000120596
9,23.7371,0.34694,1.14542,1.09205,0.31323,1,0.33167,0.16583,1.92582,7.21716,3.1613,0.000134656,0.000134656,0.000134656
10,26.5409,0.83841,1.44876,1.7356,0.13465,1,0.4975,0.199,1.80828,31.0383,2.76614,0.000147924,0.000147924,0.000147924
11,28.8843,0.94404,1.35202,1.32123,0.13465,1,0.4975,0.199,1.80828,31.0383,2.76614,0.0001604,0.0001604,0.0001604
12,31.6694,0.42414,1.61369,1.09854,0.48568,0.97135,0.4975,0.10958,1.70354,3.64201,2.21042,0.000172084,0.000172084,0.000172084
13,33.8719,1.35159,1.61069,1.58107,0.48568,0.97135,0.4975,0.10958,1.70354,3.64201,2.21042,0.000182976,0.000182976,0.000182976
14,36.7063,1.83801,2.96416,2.541,0.24263,0.97052,0.24875,0.14925,1.28057,2.66036,1.68189,0.000193076,0.000193076,0.000193076
15,38.9789,0.62901,1.69346,1.24533,0.24263,0.97052,0.24875,0.14925,1.28057,2.66036,1.68189,0.000202384,0.000202384,0.000202384
16,41.6964,1.36492,1.79161,1.37782,0.00333,1,0.04975,0.00498,3.46088,4.91375,3.26774,0.0002109,0.0002109,0.0002109
17,44.0145,1.47866,2.42936,1.80289,0.00333,1,0.04975,0.00498,3.46088,4.91375,3.26774,0.000218624,0.000218624,0.000218624
18,46.9644,2.53106,1.77755,2.30193,0.00333,1,0.04975,0.00498,2.61577,18.854,3.13774,0.000225556,0.000225556,0.000225556
19,49.3612,1.36255,3.39821,1.33154,0.00333,1,0.04975,0.00498,2.61577,18.854,3.13774,0.000231696,0.000231696,0.000231696
20,52.4803,1.61679,2.95133,2.01571,0.0189,1,0.07654,0.01531,3.06348,10.233,3.20635,0.000237044,0.000237044,0.000237044
21,54.713,1.35285,1.97449,1.59921,0.0189,1,0.07654,0.01531,3.06348,10.233,3.20635,0.0002416,0.0002416,0.0002416
22,57.531,1.67941,2.0392,2.09122,0.04572,1,0.04738,0.00474,3.83104,29.4982,6.18552,0.000245364,0.000245364,0.000245364
23,59.7487,1.26126,3.3815,1.60894,0.04572,1,0.04738,0.00474,3.83104,29.4982,6.18552,0.000248336,0.000248336,0.000248336
24,62.2696,0.95005,1.96887,1.13281,0.04572,1,0.04738,0.00474,3.83104,29.4982,6.18552,0.000250516,0.000250516,0.000250516
25,65.1606,0.9882,2.15792,1.18741,0.00333,1,0.01327,0.00133,4.07109,4.72562,4.04317,0.000251904,0.000251904,0.000251904
26,67.3135,1.94638,2.4026,3.04979,0.00333,1,0.01327,0.00133,4.07109,4.72562,4.04317,0.0002525,0.0002525,0.0002525
27,69.935,2.92071,3.90692,2.83029,0.00333,1,0.01327,0.00133,4.07109,4.72562,4.04317,0.000252304,0.000252304,0.000252304
28,72.9175,2.12522,4.70655,2.07246,0.02068,1,0.02764,0.00553,3.69346,16.7582,7.78248,0.000251316,0.000251316,0.000251316
29,75.0839,1.06818,2.17087,1.43434,0.02068,1,0.02764,0.00553,3.69346,16.7582,7.78248,0.000249536,0.000249536,0.000249536
30,77.6484,0.88847,1.84585,1.17429,0.02068,1,0.02764,0.00553,3.69346,16.7582,7.78248,0.000246964,0.000246964,0.000246964
31,80.4905,1.03803,1.86589,1.36586,0.00333,1,0.01026,0.00103,3.96614,50.1836,7.7801,0.0002436,0.0002436,0.0002436
32,82.6913,1.91157,2.48584,1.81773,0.00333,1,0.01026,0.00103,3.96614,50.1836,7.7801,0.000239444,0.000239444,0.000239444
33,85.4996,0.89403,1.89672,1.32829,0.00333,1,0.01026,0.00103,3.96614,50.1836,7.7801,0.000234496,0.000234496,0.000234496
34,88.4618,1.09487,3.17071,1.35449,0.15275,1,0.24875,0.02878,3.38251,55.1223,6.87342,0.000228756,0.000228756,0.000228756
35,90.7756,0.83865,1.66241,1.31794,0.15275,1,0.24875,0.02878,3.38251,55.1223,6.87342,0.000222224,0.000222224,0.000222224
36,93.3565,0.44629,1.02319,1.06897,0.15275,1,0.24875,0.02878,3.38251,55.1223,6.87342,0.0002149,0.0002149,0.0002149
37,96.1356,1.12025,1.31547,1.63544,0.15275,1,0.24875,0.02878,3.38251,55.1223,6.87342,0.000206784,0.000206784,0.000206784
38,98.9409,0.85813,1.51824,1.64606,0.19423,1,0.33167,0.13267,2.94504,24.1067,7.25782,0.000197876,0.000197876,0.000197876
39,101.203,0.78964,1.49164,1.04993,0.19423,1,0.33167,0.13267,2.94504,24.1067,7.25782,0.000188176,0.000188176,0.000188176
40,103.718,1.19094,1.96917,1.59284,0.19423,1,0.33167,0.13267,2.94504,24.1067,7.25782,0.000177684,0.000177684,0.000177684
41,106.238,1.36527,2.35607,1.09656,0.19423,1,0.33167,0.13267,2.94504,24.1067,7.25782,0.0001664,0.0001664,0.0001664
42,109.403,1.1492,2.36855,1.83568,0.09003,1,0.4975,0.04975,3.21793,86.2432,6.88014,0.000154324,0.000154324,0.000154324
43,111.716,1.18897,1.18892,1.64426,0.09003,1,0.4975,0.04975,3.21793,86.2432,6.88014,0.000141456,0.000141456,0.000141456
44,114.407,0.92383,1.2366,1.01138,0.09003,1,0.4975,0.04975,3.21793,86.2432,6.88014,0.000127796,0.000127796,0.000127796
45,116.898,0.66219,1.34021,1.11093,0.09003,1,0.4975,0.04975,3.21793,86.2432,6.88014,0.000113344,0.000113344,0.000113344
46,119.707,0.79428,1.43081,0.62618,0.5,1,0.4975,0.14427,2.03629,140.434,3.58891,9.81e-05,9.81e-05,9.81e-05
47,122.016,0.72407,1.23428,0.88202,0.5,1,0.4975,0.14427,2.03629,140.434,3.58891,8.2064e-05,8.2064e-05,8.2064e-05
48,124.541,0.70513,2.78146,0.93349,0.5,1,0.4975,0.14427,2.03629,140.434,3.58891,6.5236e-05,6.5236e-05,6.5236e-05
49,127.164,0.95825,1.28835,1.02272,0.5,1,0.4975,0.14427,2.03629,140.434,3.58891,4.7616e-05,4.7616e-05,4.7616e-05
50,130.052,1.01261,1.06007,1.31739,1,1,0.995,0.26775,1.41434,131.242,1.83953,2.9204e-05,2.9204e-05,2.9204e-05
